time,temp,humidity,location,temp_outside,humidity_outside,location_outside
2021-09-01 09:00:00,67.46,57.69,Upper West (Bedroom),56.0,72.0,Outside
2021-09-01 09:00:00,56.0,72.0,Outside,56.0,72.0,Outside
2021-09-01 10:00:00,61.52,64.7,Lower Northeast,59.0,62.0,Outside
2021-09-01 10:00:00,70.34,55.6,Backyard,59.0,62.0,Outside
2021-09-01 10:00:00,64.4,59.6,Lower Southeast,59.0,62.0,Outside
2021-09-01 10:00:00,64.22,63.8,Lower Southwest,59.0,62.0,Outside
2021-09-01 10:00:00,68.72,59.9,Upper East (Garage),59.0,62.0,Outside
2021-09-01 10:00:00,67.82,57.89,Upper West (Bedroom),59.0,62.0,Outside
2021-09-01 10:00:00,59.0,62.0,Outside,59.0,62.0,Outside
2021-09-01 11:00:00,61.88,63.0,Lower Northeast,62.0,58.0,Outside
2021-09-01 11:00:00,70.7,55.4,Backyard,62.0,58.0,Outside
2021-09-01 11:00:00,64.4,59.3,Lower Southeast,62.0,58.0,Outside
2021-09-01 11:00:00,64.04,63.2,Lower Southwest,62.0,58.0,Outside
2021-09-01 11:00:00,68.72,59.2,Upper East (Garage),62.0,58.0,Outside
2021-09-01 11:00:00,67.64,56.69,Upper West (Bedroom),62.0,58.0,Outside
2021-09-01 11:00:00,62.0,58.0,Outside,62.0,58.0,Outside
2021-09-01 12:00:00,62.06,62.7,Lower Northeast,65.0,52.0,Outside
2021-09-01 12:00:00,70.88,55.6,Backyard,65.0,52.0,Outside
2021-09-01 12:00:00,64.58,58.9,Lower Southeast,65.0,52.0,Outside
2021-09-01 12:00:00,64.22,62.9,Lower Southwest,65.0,52.0,Outside
2021-09-01 12:00:00,68.72,58.6,Upper East (Garage),65.0,52.0,Outside
2021-09-01 12:00:00,67.82,55.39,Upper West (Bedroom),65.0,52.0,Outside
2021-09-01 12:00:00,65.0,52.0,Outside,65.0,52.0,Outside
2021-09-01 13:00:00,62.6,61.8,Lower Northeast,69.0,47.0,Outside
2021-09-01 13:00:00,71.06,55.7,Backyard,69.0,47.0,Outside
2021-09-01 13:00:00,64.58,60.3,Lower Southeast,69.0,47.0,Outside
2021-09-01 13:00:00,64.22,62.6,Lower Southwest,69.0,47.0,Outside
2021-09-01 13:00:00,68.9,57.7,Upper East (Garage),69.0,47.0,Outside
2021-09-01 13:00:00,68.18,55.19,Upper West (Bedroom),69.0,47.0,Outside
2021-09-01 13:00:00,69.0,47.0,Outside,69.0,47.0,Outside
2021-09-01 14:00:00,62.78,60.9,Lower Northeast,74.0,35.0,Outside
2021-09-01 14:00:00,71.24,55.7,Backyard,74.0,35.0,Outside
2021-09-01 14:00:00,64.94,62.0,Lower Southeast,74.0,35.0,Outside
2021-09-01 14:00:00,64.4,63.1,Lower Southwest,74.0,35.0,Outside
2021-09-01 14:00:00,69.26,56.2,Upper East (Garage),74.0,35.0,Outside
2021-09-01 14:00:00,68.54,53.39,Upper West (Bedroom),74.0,35.0,Outside
2021-09-01 14:00:00,74.0,35.0,Outside,74.0,35.0,Outside
2021-09-01 15:00:00,63.32,58.2,Lower Northeast,77.0,31.0,Outside
2021-09-01 15:00:00,71.42,56.3,Backyard,77.0,31.0,Outside
2021-09-01 15:00:00,64.76,62.5,Lower Southeast,77.0,31.0,Outside
2021-09-01 15:00:00,64.58,63.4,Lower Southwest,77.0,31.0,Outside
2021-09-01 15:00:00,69.26,55.1,Upper East (Garage),77.0,31.0,Outside
2021-09-01 15:00:00,69.08,54.09,Upper West (Bedroom),77.0,31.0,Outside
2021-09-01 15:00:00,77.0,31.0,Outside,77.0,31.0,Outside
2021-09-01 16:00:00,63.68,56.3,Lower Northeast,79.0,27.0,Outside
2021-09-01 16:00:00,71.6,56.2,Backyard,79.0,27.0,Outside
2021-09-01 16:00:00,64.76,61.7,Lower Southeast,79.0,27.0,Outside
2021-09-01 16:00:00,64.58,63.6,Lower Southwest,79.0,27.0,Outside
2021-09-01 16:00:00,69.44,55.1,Upper East (Garage),79.0,27.0,Outside
2021-09-01 16:00:00,69.26,52.99,Upper West (Bedroom),79.0,27.0,Outside
2021-09-01 16:00:00,79.0,27.0,Outside,79.0,27.0,Outside
2021-09-01 17:00:00,63.86,55.3,Lower Northeast,79.0,28.0,Outside
2021-09-01 17:00:00,71.96,56.3,Backyard,79.0,28.0,Outside
2021-09-01 17:00:00,64.58,61.1,Lower Southeast,79.0,28.0,Outside
2021-09-01 17:00:00,64.4,64.0,Lower Southwest,79.0,28.0,Outside
2021-09-01 17:00:00,69.44,54.9,Upper East (Garage),79.0,28.0,Outside
2021-09-01 17:00:00,69.44,51.49,Upper West (Bedroom),79.0,28.0,Outside
2021-09-01 17:00:00,79.0,28.0,Outside,79.0,28.0,Outside
2021-09-01 18:00:00,64.22,54.7,Lower Northeast,78.0,30.0,Outside
2021-09-01 18:00:00,72.14,56.0,Backyard,78.0,30.0,Outside
2021-09-01 18:00:00,64.58,61.1,Lower Southeast,78.0,30.0,Outside
2021-09-01 18:00:00,64.4,65.0,Lower Southwest,78.0,30.0,Outside
2021-09-01 18:00:00,69.44,54.2,Upper East (Garage),78.0,30.0,Outside
2021-09-01 18:00:00,69.44,51.79,Upper West (Bedroom),78.0,30.0,Outside
2021-09-01 18:00:00,78.0,30.0,Outside,78.0,30.0,Outside
2021-09-01 19:00:00,64.04,57.7,Lower Northeast,75.0,34.0,Outside
2021-09-01 19:00:00,72.32,55.9,Backyard,75.0,34.0,Outside
2021-09-01 19:00:00,64.94,61.3,Lower Southeast,75.0,34.0,Outside
2021-09-01 19:00:00,64.58,65.4,Lower Southwest,75.0,34.0,Outside
2021-09-01 19:00:00,69.62,57.3,Upper East (Garage),75.0,34.0,Outside
2021-09-01 19:00:00,69.44,52.59,Upper West (Bedroom),75.0,34.0,Outside
2021-09-01 19:00:00,75.0,34.0,Outside,75.0,34.0,Outside
2021-09-01 20:00:00,63.68,58.3,Lower Northeast,72.0,38.0,Outside
2021-09-01 20:00:00,72.5,55.8,Backyard,72.0,38.0,Outside
2021-09-01 20:00:00,64.76,61.9,Lower Southeast,72.0,38.0,Outside
2021-09-01 20:00:00,64.58,64.6,Lower Southwest,72.0,38.0,Outside
2021-09-01 20:00:00,69.62,57.8,Upper East (Garage),72.0,38.0,Outside
2021-09-01 20:00:00,69.26,52.79,Upper West (Bedroom),72.0,38.0,Outside
2021-09-01 20:00:00,72.0,38.0,Outside,72.0,38.0,Outside
2021-09-01 21:00:00,63.5,57.8,Lower Northeast,70.0,41.0,Outside
